1380,0,792,792
1381,0,799,799
1382,0,832,832
1383,0,874,874
1384,0,904,904
1385,0,922,922
1386,0,935,935
1387,0,966,966
1388,0,1000,1000
1389,0,1100,1100
1390,0,1400,1800
1391,0,1500,3800
1392,0,3300,3600
1393,0,3400,3550
1394,0,3150,3600
1395,0,3400,3750
1396,0,3800,4250
1397,1,5200,5500
1397,2,5500,7400
1397,3,6300,7300
1397,4,7400,9300
1397,5,9300,11600
1397,6,10400,15000
1397,7,12700,18600
1397,8,12300,15000
1397,9,10100,12600
1397,10,10500,12350
1397,11,11200,13600
1397,12,12600,13700
1398,1,13000,14550
1398,2,13650,15900
1398,3,13000,14700
1398,4,11850,13900
1398,5,11500,12900
1398,6,11200,11800
1398,7,11300,12200
1398,8,11100,12700
1398,9,12200,14400
1398,10,13000,15250
1398,11,13500,14900
1398,12,14700,19000
1399,1,15600,18800
1399,2,16000,18100
1399,3,17150,20000
1399,4,19600,25900
1399,5,20400,24700
1399,6,23400,28300
1399,7,26100,33200
1399,8,23400,31000
1399,9,24700,27000
1399,10,21200,27300
1399,11,23000,28500
1399,12,24300,27500
1400,1,24500,28400
1400,2,21200,25500
1400,3,23100,25200
1400,4,22500,25550
1400,5,24200,29000
1400,6,27000,28700
1400,7,26800,28800
1400,8,27200,29800
1400,9,28950,33000
1400,10,27500,30500
1400,11,25800,29300
1400,12,25500,26900
1401,1,25700,28650
1401,2,27600,32400
1401,3,29800,34000
1401,4,30550,32900
1401,5,28500,33000
1401,6,29250,33200
1401,7,31800,33750
1401,8,32700,38400
1401,9,35600,40600
1401,10,39200,44750
1401,11,42750,50350
1401,12,44500,60600
1402,1,50550,55000
1402,2,51000,56900
1402,3,46600,53200
1402,4,48900,51900
